keyword_id,keyword,category_cluster,target_url,page_status,role,monthly_search_volume_us,seo_difficulty,cpc_usd,search_intent,funnel_stage,decision_status,source_origin,rationale_and_notes
KW-0122,gym signs,Industry - Gyms & Fitness,/business-signs/gym-signs,Approved 90-Day Plan,primary,1000,17,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0123,happy birthday neon sign,Events & Occasions,/custom-signage/event-signs,Live Page,primary,1000,23,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0124,illuminated signs for business,General & Market Benchmarks,/business-signs,Live Page,secondary,1000,30,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0125,salon signs,Industry - Salons & Spas,/business-signs/salon-signs,Approved 90-Day Plan,primary,1000,33,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0126,metal letter signs,General & Market Benchmarks,/products/3d-metal-neon-signs,Live Page,secondary,1000,38,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0127,how to hang a neon sign,Editorial & Blog,/blog/how-to-hang-a-neon-sign,Blog / Editorial,primary,880,20,0.6,informational,awareness,KEEP,Sanity Blog Seed,"Drywall anchors, standoffs, adhesive strips, ceiling hanging."
KW-0128,beauty salon signs,Industry - Salons & Spas,/business-signs/salon-signs,Approved 90-Day Plan,secondary,880,25,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0129,hair salon signs,Industry - Salons & Spas,/business-signs/salon-signs,Approved 90-Day Plan,secondary,880,25,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0130,neon sign ideas for weddings,Editorial & Blog,/blog/neon-sign-ideas-for-weddings,Blog / Editorial,primary,880,26,0.9,informational,awareness,KEEP,Sanity Blog Seed,"Last names, photo backdrops, botanical walls, dimming."
KW-0131,led signs for bedroom,Home Decor & Living,,Archived / Removed,Evaluated & Archived,880,30,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0132,halloween neon sign,Editorial & Blog,/blog/halloween-neon-sign-ideas,Blog / Editorial,broader_demand_anchor,880,30,0.87,informational,awareness,KEEP,Halloween Blog Research,Commercial intent; available monthly history covers August-November 2025 only.
KW-0133,custom bar signs neon,Industry - Hospitality & Bars,,Archived / Removed,Evaluated & Archived,880,35,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0134,led signs for room,Home Decor & Living,,Archived / Removed,Evaluated & Archived,880,35,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0135,outdoor business signs with lights,B2B Commercial & Business Signs,/,Live Page,primary,880,36,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0136,coffee shop signs,General & Market Benchmarks,/business-signs/restaurant-signs,Live Page,secondary,880,42,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0137,neon shop signs,General & Market Benchmarks,/business-signs/retail-signs,Approved 90-Day Plan,secondary,880,54,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0138,how to clean led neon signs,Editorial & Blog,/blog/how-to-clean-and-maintain-led-neon-signs,Blog / Editorial,primary,720,16,0.45,informational,awareness,KEEP,Sanity Blog Seed,"Dry dusting, microfiber, avoiding alcohol on acrylic."
KW-0139,happy birthday led sign,Events & Occasions,,Archived / Removed,Evaluated & Archived,720,23,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0140,office wall signs,Technical Guides & Buying Decisions,/business-signs/acrylic-logo-signs,Live Page,secondary,720,27,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0141,lighted outdoor business signs,B2B Commercial & Business Signs,,Archived / Removed,Evaluated & Archived,720,29,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0142,neon wall signs,Technical Guides & Buying Decisions,/custom-signage,Live Page,secondary,720,29,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0143,custom neon signs for bar,Industry - Hospitality & Bars,,Archived / Removed,Evaluated & Archived,720,33,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0144,led acrylic signs,Acrylic Signs & UV Print,/products/uv-print-acrylic-signs,Live Page,secondary,720,34,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0145,neon wall art,Technical Guides & Buying Decisions,/custom-signage,Live Page,secondary,720,35,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0146,neon wall lights,Technical Guides & Buying Decisions,/custom-signage/home-neon-decor,Approved 90-Day Plan,secondary,720,35,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0147,led outdoor business signs,B2B Commercial & Business Signs,/business-signs,Live Page,secondary,720,36,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0148,custom neon bar signs,Industry - Hospitality & Bars,/custom-signage/bar-neon-signs,Live Page,secondary,720,37,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0149,personalized bar signs neon,Industry - Hospitality & Bars,,Archived / Removed,Evaluated & Archived,720,37,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0150,retail signs,Industry - Retail & Storefronts,/products,Live Page,secondary,720,43,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0151,lightbox signs,Lightbox & Edge-Lit Signs,/business-signs/lightbox-signs,Strategic Benchmark,benchmark,720,49,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0152,custom neon signs logo,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,720,59,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0153,gaming neon signs,Gaming & Entertainment,/custom-signage/gaming-neon-signs,Live Page,primary,590,17,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0154,lobby signs,Industry - Corporate & Office,/business-signs/custom-logo-neon-signs,Live Page,secondary,590,17,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0155,neon gym signs,Industry - Gyms & Fitness,/business-signs/gym-signs,Approved 90-Day Plan,secondary,590,19,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0156,gym neon sign,industries,/business-signs/gym-fitness-signs,Live Page,primary,590,23,,commercial_investigation,consideration,KEEP,05 Intent Map,Renamed from gyms-fitness-studios. Lowest difficulty on the whole map (SD 23): build first as the cluster's proof-of-rank page. Use proof before claims about energy or lifespan.
KW-0157,neon sign colours,Editorial & Blog,/blog/neon-sign-colours,Blog / Editorial,primary,590,24,0.7,informational,awareness,KEEP,Sanity Blog Seed,"Jacketed vs white silicone, ambient light contrast, legibility."
KW-0158,neon signs for business,General & Market Benchmarks,/business-signs/custom-logo-neon-signs,Strategic Benchmark,benchmark,590,25,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
KW-0159,outdoor restaurant signs,Industry - Restaurants & Food,/business-signs/restaurant-signs,Approved 90-Day Plan,secondary,590,26,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0160,business logo signs,Business Logo Neon Signs,/business-signs/custom-logo-neon-signs,Live Page,primary,590,31,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0161,outdoor storefront signs,Industry - Retail & Storefronts,/,Live Page,secondary,590,32,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0162,custom backlit sign,Backlit & Halo-Lit Signs,,Archived / Removed,Evaluated & Archived,590,35,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0163,custom neon logo sign,Custom LED Neon Signs,,Archived / Removed,Evaluated & Archived,590,36,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0164,restaurant signs for outside,Industry - Restaurants & Food,,Archived / Removed,Evaluated & Archived,590,36,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0165,custom backlit signage,Backlit & Halo-Lit Signs,/business-signs/lightbox-signs,Live Page,secondary,590,44,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0166,neon gym sign,Industry - Gyms & Fitness,,Archived / Removed,Evaluated & Archived,480,17,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0167,personalized bar signs,Industry - Hospitality & Bars,,Archived / Removed,Evaluated & Archived,480,18,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0168,game room signage,Home Decor & Living,/custom-signage/gaming-neon-signs,Live Page,secondary,480,22,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0169,backlit acrylic signs,Backlit & Halo-Lit Signs,/products/uv-print-acrylic-signs,Live Page,secondary,480,23,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0170,man cave neon signs,Gaming & Entertainment,/custom-signage/bar-neon-signs,Live Page,secondary,480,23,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0171,acrylic backlit signage,Backlit & Halo-Lit Signs,,Archived / Removed,Evaluated & Archived,480,26,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0172,led wedding signs,Events & Occasions,,Archived / Removed,Evaluated & Archived,480,30,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0173,light up bar signs,Industry - Hospitality & Bars,/custom-signage/bar-neon-signs,Live Page,secondary,480,31,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0174,neon restaurant signs,Industry - Restaurants & Food,/business-signs/restaurant-signs,Approved 90-Day Plan,secondary,480,32,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0175,printed acrylic signs,Acrylic Signs & UV Print,/business-signs/acrylic-logo-signs,Live Page,secondary,480,32,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0176,acrylic signs for wall,Technical Guides & Buying Decisions,/business-signs/acrylic-logo-signs,Live Page,secondary,480,34,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0177,led backlit signage,Backlit & Halo-Lit Signs,,Archived / Removed,Evaluated & Archived,480,34,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0178,outdoor illuminated signs,General & Market Benchmarks,/business-signs,Live Page,secondary,480,34,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0179,acrylic logo signs,Acrylic Signs & UV Print,/business-signs/acrylic-logo-signs,Live Page,primary,480,35,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0180,acrylic signs with lights,Acrylic Signs & UV Print,,Archived / Removed,Evaluated & Archived,480,36,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0181,wedding led sign,Events & Occasions,/custom-signage/wedding-signs,Live Page,secondary,480,37,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0182,corporate signs,Industry - Corporate & Office,/business-signs/acrylic-logo-signs,Live Page,secondary,390,15,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0183,neon hair salon signs,Industry - Salons & Spas,,Archived / Removed,Evaluated & Archived,390,17,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0184,illuminated acrylic signs,Acrylic Signs & UV Print,/products/uv-print-acrylic-signs,Live Page,secondary,390,20,,transactional_commercial,decision,KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0185,signage trends 2026,Editorial & Blog,/blog/signage-trends-2026,Blog / Editorial,primary,390,21,0.75,informational,awareness,KEEP,Sanity Blog Seed,"Minimalist halo lit, slimline acrylic, neutral warm white, energy efficiency."
KW-0186,nail salon signs,Industry - Salons & Spas,/business-signs/salon-signs,Approved 90-Day Plan,secondary,390,24,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0187,retail shop signs,Industry - Retail & Storefronts,/business-signs/retail-signs,Approved 90-Day Plan,secondary,390,24,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0188,acrylic signs for office,Acrylic Signs & UV Print,/business-signs/acrylic-logo-signs,Live Page,secondary,390,28,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0189,aesthetic neon signs,Home Decor & Living,,Archived / Removed,Evaluated & Archived,390,29,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0190,outdoor business signs for buildings,B2B Commercial & Business Signs,/business-signs,Live Page,secondary,390,30,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0191,outdoor business signs ideas,B2B Commercial & Business Signs,,Archived / Removed,Evaluated & Archived,390,36,,informational,TOFU (Awareness),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0192,clear acrylic signs,Acrylic Signs & UV Print,,Archived / Removed,Evaluated & Archived,390,44,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0193,led channel letter signs,Storefront & Channel Letters,/business-signs/channel-letter-signs,Live Page,secondary,320,14,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0194,choose right neon color,Editorial & Blog,/blog/how-to-choose-the-right-neon-color-for-your-sign,Blog / Editorial,primary,320,19,0.5,informational,awareness,KEEP,Sanity Blog Seed,"Color psychology, wall contrast, ambient light levels."
KW-0195,outdoor light box signage,Lightbox & Edge-Lit Signs,,Archived / Removed,Evaluated & Archived,320,20,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0196,light up acrylic signs,Acrylic Signs & UV Print,,Archived / Removed,Evaluated & Archived,320,23,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0197,outdoor lightbox signs,Lightbox & Edge-Lit Signs,/business-signs/lightbox-signs,Live Page,secondary,320,24,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0198,outdoor metal letter signs,General & Market Benchmarks,/products/3d-metal-neon-signs,Live Page,secondary,320,24,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0199,dimensional letter signs,General & Market Benchmarks,/products/3d-metal-neon-signs,Live Page,secondary,320,25,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0200,commercial backlit signs,Backlit & Halo-Lit Signs,/business-signs/backlit-signs,Live Page,secondary,320,27,9.1,transactional_commercial,decision,KEEP,Backlit Cluster Implementation,B2B commercial modifier for storefront and building backlit signage.
KW-0201,ideas for restaurant signs,Industry - Restaurants & Food,,Archived / Removed,Evaluated & Archived,320,36,,informational,TOFU (Awareness),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0202,salon neon sign,industries,/business-signs/salon-spa-signs,Live Page,primary,320,44,1.92,commercial_investigation,consideration,KEEP,05 Intent Map,Renamed from salons-spas to match the head term. Avoid generic decor copy; show actual brand constraints. CPC $1.92.
KW-0203,3d acrylic signs,Acrylic Signs & UV Print,/products/uv-print-acrylic-signs,Live Page,primary,260,12,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0204,backlit letters,Backlit & Halo-Lit Signs,/products/3d-metal-neon-signs,Live Page,secondary,260,13,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0205,backlit letters signage,Backlit & Halo-Lit Signs,,Archived / Removed,Evaluated & Archived,260,13,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0206,office neon signs,Industry - Corporate & Office,,Archived / Removed,Evaluated & Archived,260,16,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0207,yoga signage,B2B Commercial & Business Signs,,Archived / Removed,Evaluated & Archived,260,22,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0208,gym neon sign ideas,Editorial & Blog,/blog/gym-neon-sign-ideas,Blog / Editorial,primary,260,23,0.65,informational,awareness,KEEP,Sanity Blog Seed,"Motivational quotes, barbell iconography, high-vibration mounting."
KW-0209,neon sign for home,General & Market Benchmarks,/custom-signage/home-neon-decor,Approved 90-Day Plan,secondary,260,27,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0210,neon wall decor,Technical Guides & Buying Decisions,/custom-signage/home-neon-decor,Approved 90-Day Plan,primary,260,27,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0211,storefront signs for business,Industry - Retail & Storefronts,,Archived / Removed,Evaluated & Archived,260,28,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0212,custom neon wedding sign,Events & Occasions,,Archived / Removed,Evaluated & Archived,260,32,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0213,wall decor neon sign,Technical Guides & Buying Decisions,/custom-signage/home-neon-decor,Approved 90-Day Plan,secondary,260,32,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0214,custom neon wedding signs,Events & Occasions,,Archived / Removed,Evaluated & Archived,260,33,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0215,building letters,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,260,34,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0216,custom neon signs outdoor,Custom LED Neon Signs,/products/custom-neon-signs,Live Page,secondary,260,36,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0217,outdoor acrylic signs,Acrylic Signs & UV Print,,Archived / Removed,Evaluated & Archived,260,36,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0218,coffee bar sign ideas,Editorial & Blog,/blog/halloween-neon-sign-ideas,Blog / Editorial,alternative_topic,260,36,0.4,informational,awareness,KEEP,Halloween Blog Research,Informational alternative; home coffee corner would narrow scope.
KW-0219,neon signs for kitchen,General & Market Benchmarks,/custom-signage/home-neon-decor,Approved 90-Day Plan,secondary,210,15,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0220,neon signs for gaming room,Home Decor & Living,/custom-signage/gaming-neon-signs,Live Page,secondary,210,18,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0221,edge lit signs,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,210,23,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0222,salon signs ideas,Industry - Salons & Spas,,Archived / Removed,Evaluated & Archived,210,30,,informational,TOFU (Awareness),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0223,custom neon signs for wedding,Events & Occasions,/custom-signage/wedding-signs,Live Page,primary,210,31,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0224,halo lit letters,Backlit & Halo-Lit Signs,/products/3d-metal-neon-signs,Live Page,secondary,210,31,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0225,channel letter signs price,Technical Guides & Buying Decisions,/guides/custom-business-sign-cost,Live Page,secondary,210,32,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0226,neon sign ideas,General & Market Benchmarks,,Archived / Removed,Evaluated & Archived,210,32,,informational,TOFU (Awareness),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0227,storefront retail signs,Industry - Retail & Storefronts,,Archived / Removed,Evaluated & Archived,210,39,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0228,outdoor retail signs,Industry - Retail & Storefronts,,Archived / Removed,Evaluated & Archived,210,44,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0229,custom neon signs online,Custom LED Neon Signs,/products/custom-neon-signs,Live Page,secondary,210,60,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0230,front lit channel letter signs,Storefront & Channel Letters,/business-signs/channel-letter-signs,Live Page,secondary,170,12,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0231,custom gym signs,Industry - Gyms & Fitness,,Archived / Removed,Evaluated & Archived,170,14,,transactional_commercial,BOFU (Decision),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0232,lobby signs for business,Industry - Corporate & Office,/business-signs/custom-logo-neon-signs,Live Page,secondary,170,14,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0233,gamer neon signs,Gaming & Entertainment,,Archived / Removed,Evaluated & Archived,170,19,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0234,led light box sign,Lightbox & Edge-Lit Signs,/products/ultra-thin-lightbox,Live Page,primary,170,19,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0235,video game neon signs,Gaming & Entertainment,/custom-signage/gaming-neon-signs,Live Page,secondary,170,19,,commercial_investigation,MOFU (Consideration),KEEP,Ubersuggest 300 Register,Mapped to an approved 90-day landing-page cluster before content production
KW-0236,neon sign cost,Technical Guides & Buying Decisions,/guides/custom-business-sign-cost,Live Page,secondary,170,20,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0237,party neon signs,Events & Occasions,/custom-signage/event-signs,Live Page,primary,170,21,,transactional_commercial,decision,KEEP,Ubersuggest 300 Register,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
KW-0238,neon cafe signs,Industry - Restaurants & Food,,Archived / Removed,Evaluated & Archived,170,23,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0239,neon for restaurant,Industry - Restaurants & Food,,Archived / Removed,Evaluated & Archived,170,23,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0240,hair salon signs outdoor,Industry - Salons & Spas,,Archived / Removed,Evaluated & Archived,170,26,,commercial_investigation,MOFU (Consideration),REMOVE,Ubersuggest 300 Register,Remove — lower-priority variant with no unique current or approved 90-day page target
KW-0241,custom channel letter signs,Storefront & Channel Letters,/business-signs/channel-letter-signs,Live Page,primary,170,27,10.9,transactional_commercial,decision,KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
KW-0242,channel letter signs cost,Technical Guides & Buying Decisions,/guides/custom-business-sign-cost,Live Page,secondary,170,28,,transactional_commercial,BOFU (Decision),KEEP,Ubersuggest 300 Register,Mapped to an existing page with matching product or commercial intent
