keyword,estimated_monthly_volume_us,seo_difficulty,decision,cohort,role,target_url,reason
outdoor business signs with lights,880,36,KEEP,live_page,primary,/,Mapped to an existing page with matching product or commercial intent
outdoor illuminated signs,480,34,KEEP,live_page,secondary,/business-signs,Mapped to an existing page with matching product or commercial intent
outdoor light box signage,320,20,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
outdoor lightbox signs,320,24,KEEP,live_page,secondary,/business-signs/lightbox-signs,Mapped to an existing page with matching product or commercial intent
outdoor metal letter signs,320,24,KEEP,live_page,secondary,/products/3d-metal-neon-signs,Mapped to an existing page with matching product or commercial intent
outdoor neon signs for business,90,26,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
outdoor restaurant signs,590,26,KEEP,planned_90_day,secondary,/business-signs/restaurant-signs,Mapped to an approved 90-day landing-page cluster before content production
outdoor retail signs,210,44,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
outdoor salon signs,140,27,KEEP,planned_90_day,secondary,/business-signs/salon-signs,Mapped to an approved 90-day landing-page cluster before content production
outdoor storefront signs,590,32,KEEP,live_page,secondary,/,Mapped to an existing page with matching product or commercial intent
party neon signs,170,21,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
personalized bar signs,480,18,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
personalized bar signs neon,720,37,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
personalized led sign,12100,47,KEEP,live_page,secondary,/custom-signage,Mapped to an existing page with matching product or commercial intent
personalized light signs,1300,60,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
personalized neon,40500,61,KEEP,strategic_benchmark,benchmark,/products/custom-neon-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
personalized neon bar signs,33100,45,KEEP,planned_90_day,secondary,/custom-signage/bar-cafe-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
personalized neon sign,1600,62,KEEP,live_page,secondary,/products/custom-neon-signs,Mapped to an existing page with matching product or commercial intent
printed acrylic signs,480,32,KEEP,live_page,secondary,/business-signs/acrylic-logo-signs,Mapped to an existing page with matching product or commercial intent
restaurant led signs,140,23,KEEP,planned_90_day,secondary,/business-signs/restaurant-signs,Mapped to an approved 90-day landing-page cluster before content production
restaurant signs,2900,34,KEEP,planned_90_day,primary,/business-signs/restaurant-signs,Mapped to an approved 90-day landing-page cluster before content production
restaurant signs for outside,590,36,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
retail shop signs,390,24,KEEP,planned_90_day,secondary,/business-signs/retail-signs,Mapped to an approved 90-day landing-page cluster before content production
retail signs,720,43,KEEP,live_page,secondary,/products,Mapped to an existing page with matching product or commercial intent
retail storefront signs,140,19,KEEP,live_page,secondary,/,Mapped to an existing page with matching product or commercial intent
reverse channel letter signs,140,11,KEEP,live_page,secondary,/business-signs/channel-letter-signs,Mapped to an existing page with matching product or commercial intent
reverse lit channel letter signs,90,10,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
salon signs,1000,33,KEEP,planned_90_day,primary,/business-signs/salon-signs,Mapped to an approved 90-day landing-page cluster before content production
salon signs ideas,210,30,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
shop signs,1600,33,KEEP,planned_90_day,primary,/business-signs/retail-signs,Mapped to an approved 90-day landing-page cluster before content production
shop signs near me,18100,65,REMOVE,,,,Remove — local-intent query is unsupported by the current national ecommerce model
sign neon custom,33100,53,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
signage lightbox,1300,25,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
storefront letters,50,19,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
storefront retail signs,210,39,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
storefront signs,3600,29,KEEP,strategic_benchmark,benchmark,/business-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
storefront signs for business,260,28,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
types of channel letter signs,40,28,KEEP,live_page,secondary,/business-signs/channel-letter-signs,Mapped to an existing page with matching product or commercial intent
video game neon signs,170,19,KEEP,planned_90_day,secondary,/custom-signage/gaming-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
vintage neon signs,2400,29,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
wall decor neon sign,260,32,KEEP,planned_90_day,secondary,/custom-signage/home-neon-decor,Mapped to an approved 90-day landing-page cluster before content production
wedding led sign,480,37,KEEP,planned_90_day,secondary,/custom-signage/wedding-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
wedding light sign,90,38,REMOVE,,,,"Remove — sub-100 volume without stronger exact-page, intent, or competitor evidence"
wedding neon sign,2900,42,REMOVE,,,,Remove — normalized semantic reorder or singular/plural duplicate of a retained keyword
wedding neon signs,3600,45,KEEP,strategic_benchmark,benchmark,/custom-signage/wedding-neon-signs,"Head-term benchmark; tracked for market visibility, not used as a standalone page brief"
wedding neon signs ideas,140,32,KEEP,planned_90_day,secondary,/custom-signage/wedding-neon-signs,Mapped to an approved 90-day landing-page cluster before content production
what are channel letter signs,90,24,KEEP,live_page,secondary,/business-signs/channel-letter-signs,Mapped to an existing page with matching product or commercial intent
what are neon colors,1600,29,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
yoga signage,260,22,REMOVE,,,,Remove — lower-priority variant with no unique current or approved 90-day page target
